Year,Ratio
2018,0.019230769230769232
2017,0.06504065040650407
2016,0.04201680672268908
2015,0.06923076923076923
2014,0.059322033898305086
2013,0.11504424778761062
2012,0.08490566037735849
2011,0.11965811965811966
2010,0.08247422680412371
2009,0.11818181818181818
2008,0.09174311926605505
2007,0.04950495049504951
2006,0.10752688172043011
2005,0.07692307692307693
2004,0.1686746987951807
2003,0.09302325581395349
2002,0.11904761904761904
2001,0.06896551724137931
2000,0.1978021978021978
1999,0.07936507936507936
1998,0.14285714285714285
1997,0.15384615384615385
1996,0.19642857142857142
1995,0.18461538461538463
1984,0.15151515151515152
1994,0.18867924528301888
1993,0.2909090909090909
1992,0.18
1991,0.16216216216216217
1990,0.08571428571428572
1989,0.13333333333333333
1988,0.13725490196078433
1987,0.2
1986,0.08571428571428572
1985,0.09375
1983,0.09302325581395349
1982,0.18181818181818182
1981,0.11627906976744186
1980,0.1935483870967742
1979,0.3333333333333333
1978,0.09090909090909091
1977,0.17391304347826086
1976,0.16666666666666666
1975,0.13636363636363635
1974,0.23684210526315788
1973,0.34615384615384615
1972,0.25806451612903225
1971,0.2962962962962963
1970,0.21052631578947367
1969,0.0
1968,0.13513513513513514
1967,0.25
1966,0.30612244897959184
1965,0.21428571428571427
1964,0.2857142857142857
1963,0.25925925925925924
1962,0.2077922077922078
1961,0.18055555555555555
1960,0.175
1959,0.3
1958,0.375
1957,0.2702702702702703
1956,0.42857142857142855
1955,0.2926829268292683
1954,0.4166666666666667
1953,0.17142857142857143
1952,0.3333333333333333
1951,0.3793103448275862
1950,0.2564102564102564
1949,0.34615384615384615
1948,0.39285714285714285
1947,0.21428571428571427
1946,0.19230769230769232
