Year,Country,Area,Location,Fatal (Y/N)
2018,USA,California,"Oceanside, San Diego County",N
2018,USA,Georgia,"St. Simon Island, Glynn County",N
2018,USA,Hawaii,"Habush, Oahu",N
2018,AUSTRALIA,New South Wales,Arrawarra Headland,N
2018,MEXICO,Colima,La Ticla,N
2018,AUSTRALIA,New South Wales,"Flat Rock, Ballina",N
2018,BRAZIL,Pernambuco,"Piedade Beach, Recife",Y
2018,USA,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",N
2018,USA,Florida,"Cocoa Beach, Brevard  County",N
2018,USA,Florida,"Daytona Beach, Volusia County",N
2018,AUSTRALIA,Queensland,Cairns Aquarium,N
2018,USA,South Carolina,"Isle of Palms,  Charleston County",N
2018,USA,South Carolina,"Hilton Head Island, Beaufort County",N
2018,ENGLAND,Cornwall,Off Land's End,N
2018,AUSTRALIA,Westerm Australia,Dugong Bay,N
2018,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",N
2018,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",N
2018,THAILAND,Hua Hin,Sai Noi Beach,N
2018,COSTA RICA,Cocos Island,Manuelita,N
2018,AUSTRALIA,Western Australia,Gearys Beach,N
2018,AUSTRALIA,New South Wales,Lennox Head,N
2018,AUSTRALIA,Western Australia,"Surfers Point, Prevelly",N
2018,AUSTRALIA,Western Australia,"South Point, Gracetown",N
2018,MALDIVES,Alifu Alifu Atoll,Madoogali,N
2018,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",N
2018,USA,Hawaii,"Shipwrecks Beach, Keoneloa Bay, Kauai",N
2018,THAILAND,Hua Hin,Sai Noi Beach,N
2018,AUSTRALIA,Western Australia,"Lefthanders, Margaret River Area",N
2018,AUSTRALIA,Western Australia,"Cobblestones, Margaret River Area",N
2018,BAHAMAS,New Providence,Nirvana Beach,N
2018,BRAZIL,Alagoas,"Praia de Sauaçuhy, Maceió",N
2018,NEW CALEDONIA,,"Magenta Beach, Noumea",N
2018,BAHAMAS,,Bimini,N
2018,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,N
2018,USA,Hawaii,Kukio Beach,N
2018,AUSTRALIA,Western Australia,Waterman's Bay,N
2018,AUSTRALIA,Victoria,Lorne,N
2018,AUSTRALIA,Victoria,Winkipop,N
2018,SOUTH AFRICA,KwaZulu-Natal,Durban,N
2018,AUSTRALIA,New South Wales,"Little Congwong Beach, La Perouse ",N
2018,AUSTRALIA,Victoria,Westernport Bay,N
2018,AUSTRALIA,New South Wales,"Surf Beach, Kiama",N
2018,AUSTRALIA,Queensland,Mooloolaba Beach,N
2018,BRAZIL,"Boi Island, Victoria",Espirito Santo,N
2018,ECUADOR,Galapagos Islands,Santa Fe Island,N
2018,AUSTRALIA,Western Australia,"Avalon Point, Manurah",N
2018,AUSTRALIA,Western Australia,Cone Bay,N
2018,NEW CALEDONIA,,Nouville,N
2018,AUSTRALIA,Queensland,Lizard Island,N
2018,AUSTRALIA,New South Wales,Martin Islet,N
2018,BRAZIL,Fernando de Noronha,Conceicao Beach,N
2018,AUSTRALIA,Western Australia,"South Point, Gracetown",N
2017,USA,Hawaii,"Hultin's Beach, Oahu",N
2017,USA,California,"Drakes Estero, Point Reyes, Marin County",N
2017,MALAYSIA,Sepang,Bagan Lalang Beach,N
2017,BAHAMAS,,,N
2017,COSTA RICA,Cocos Island,Manuelita,N
2017,COSTA RICA,Cocos Island,Manuelita,Y
2017,LIBYA,, Gars Garabulli,Y
2017,USA,California,"Stillwater Cove, Monterey County",N
2017,USA,Florida,"Floridana Beach, Brevard County",N
2017,,,,N
2017,AUSTRALIA,New South Wales,Avoca Beach,N
2017,CUBA,Holquin Province,Guardalavaca Beach,Y
2017,AUSTRALIA,Queensland,Magnetic Island,N
2017,AUSTRALIA,New South Wales,Birubi Point,N
2017,USA,Hawaii,"White Plains Beach, Oahu",N
2017,MAURITIUS,Pamplemousses ,Le Goulet,N
2017,USA,Florida,"Juno Beach, Palm Beach County",N
2017,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",N
2017,AUSTRALIA,South Australia,Normanville,N
2017,NEW ZEALAND,North Island,"Off Tapuna Beach, Auckand",N
2017,USA,Florida,"Lantana Beach, Palm Beach County",N
2017,USA,Hawaii,"Davidsons Beach, Kekaha, Kauai",N
2017,USA,Hawaii,"Kamaole Beach Park, Maui ",N
2017,USA,Florida,"Hanna Park, Jacksonville, Duval County",N
2017,AUSTRALIA,Western Australia,Gracetown,N
2017,USA,Florida,Fort Worth,N
2017,USA,Florida,Palm Beach County,N
2017,SPAIN,Canary Islands,Gran Canaria ,N
2017,USA,Florida,"Ponce Inlet, Volusia County",N
2017,SAMOA, Upolu Island,Nofoalii,N
2017,AUSTRALIA,Westerm Australia,Esperance,N
2017,USA,Florida,"Ponce Inlet, Volusia County",N
2017,AUSTRALIA,Westerm Australia,Sam's Creek area,N
2017,AUSTRALIA,New South Wales,Iluka Beach,N
2017,SOLOMON ISLANDS,,Owarigi Island,N
2017,SOUTH AFRICA,Western Cape Province,Dyer Island,Y
2017,JAPAN,Shizuoka Prefecture,Iwata City,N
2017,USA,Florida,"Marathon, Monroe County",N
2017,USA,Texas,"South Padre Island, Cameron County",N
2017,USA,Florida,"New Smyrna Beach, Volusia County",N
2017,AUSTRALIA,Victoria,Cathedral Rock,N
2017,USA,Florida,Bathtub Beach ,N
2017,NEW ZEALAND,North Island,Off Tutukaka,N
2017,USA,Massachusetts,"Marconi Beach, Wellfleet, Barnstable County",N
2017,BAHAMAS,,,N
2017,USA,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County",N
2017,EGYPT,Red Sea Protectorate,Marsa Ghalib,N
2017,USA,Massachusetts,"Menauhant Beach, Falmouth,
Barnstable County",N
2017,USA,California,"Between Pescadero Point & Bean Hollow Beach, San Mateo County",N
2017,USA,Florida,"Jacksonvlle, Duval County",N
2017,USA,South Carolina,"DeBordieu Colony, Georgetown County",N
2017,BAHAMAS,New Providence District,Rose Island,N
2017,BAHAMAS,40 miles off Grand Bahama Island,,N
2017,"ST HELENA, British overseas territory",Ascension Island,English Bay,N
2017,USA,New Jersey,Ventnor,N
2017,SPAIN,Majorca,"Estanys Beach, Colonia de Sant",N
2017,USA,Florida,"Snipes Point, Monroe County",N
2017,USA,California,"Stearns Wharf, Santa Barbara",N
2017,USA,California,"Seal Rock, Goleta Beach, Santa Barbara",N
2017,USA,Washington,"South Beach, Westport, Grays Harbor County",N
2017,AUSTRALIA,Western Australia,Floreat Beach,N
2017,USA,California,"Santa Cruz, Santa Cruz County",N
2017,USA,Florida,"Haulover Beach, Miami-Dade County",N
2017,MEXICO,Tabasco,"Sánchez Magallanes, Cárdenas",N
2017,SOUTH AFRICA,Eastern Cape Province,"Nahoon Reef, East London",N
2017,USA,South Carolina,"South Forest Beach, Hilton Head Island, Beaufort County",N
2017,USA,Florida,"Singer Island, Palm Beach County",N
