Year,Country,Fatal (Y/N),gdp
2018,USA,N,59821.5922735518
2018,USA,N,59821.5922735518
2018,USA,N,59821.5922735518
2018,AUSTRALIA,N,58561.1900146445
2018,MEXICO,N,9945.77658502165
2018,AUSTRALIA,N,58561.1900146445
2018,BRAZIL,Y,8582.34994282074
2018,USA,N,59821.5922735518
2018,USA,N,59821.5922735518
2018,USA,N,59821.5922735518
2018,AUSTRALIA,N,58561.1900146445
2018,USA,N,59821.5922735518
2018,USA,N,59821.5922735518
2018,UNITED KINGDOM,N,46241.6519696352
2018,AUSTRALIA,N,58561.1900146445
2018,SOUTH AFRICA,N,5639.90199673467
2018,AUSTRALIA,N,58561.1900146445
2018,MIDUPP_INCOME,N,6489.25718582616
2018,MIDUPP_INCOME,N,12505.3732631305
2018,AUSTRALIA,N,58561.1900146445
2018,AUSTRALIA,N,58561.1900146445
2018,AUSTRALIA,N,58561.1900146445
2018,AUSTRALIA,N,58561.1900146445
2018,MIDUPP_INCOME,N,9823.09084060012
2018,SOUTH AFRICA,N,5639.90199673467
2018,USA,N,59821.5922735518
2018,MIDUPP_INCOME,N,6489.25718582616
2018,AUSTRALIA,N,58561.1900146445
2018,AUSTRALIA,N,58561.1900146445
2018,BAHAMAS,N,32727.1289363961
2018,BRAZIL,N,8582.34994282074
2018,FRANCE,N,38276.4694198731
2018,BAHAMAS,N,32727.1289363961
2018,SOUTH AFRICA,N,5639.90199673467
2018,USA,N,59821.5922735518
2018,AUSTRALIA,N,58561.1900146445
2018,AUSTRALIA,N,58561.1900146445
2018,AUSTRALIA,N,58561.1900146445
2018,SOUTH AFRICA,N,5639.90199673467
2018,AUSTRALIA,N,58561.1900146445
2018,AUSTRALIA,N,58561.1900146445
2018,AUSTRALIA,N,58561.1900146445
2018,AUSTRALIA,N,58561.1900146445
2018,BRAZIL,N,8582.34994282074
2018,MIDUPP_INCOME,N,5952.21808360301
2018,AUSTRALIA,N,58561.1900146445
2018,AUSTRALIA,N,58561.1900146445
2018,FRANCE,N,38276.4694198731
2018,AUSTRALIA,N,58561.1900146445
2018,AUSTRALIA,N,58561.1900146445
2018,BRAZIL,N,8582.34994282074
2018,AUSTRALIA,N,58561.1900146445
2017,USA,N,58387.7758083572
2017,USA,N,58387.7758083572
2017,MIDUPP_INCOME,N,10707.7483031664
2017,BAHAMAS,N,32089.2530205299
2017,MIDUPP_INCOME,N,12375.9237345731
2017,MIDUPP_INCOME,Y,12375.9237345731
2017,MIDUPP_INCOME,Y,5209.86570112762
2017,USA,N,58387.7758083572
2017,USA,N,58387.7758083572
2017,AUSTRALIA,N,57764.0688425977
2017,MIDUPP_INCOME,Y,7863.39468388695
2017,AUSTRALIA,N,57764.0688425977
2017,AUSTRALIA,N,57764.0688425977
2017,USA,N,58387.7758083572
2017,MIDUPP_INCOME,N,9966.7696658865
2017,USA,N,58387.7758083572
2017,USA,N,58387.7758083572
2017,AUSTRALIA,N,57764.0688425977
2017,NEW ZEALAND,N,39758.2643153684
2017,USA,N,58387.7758083572
2017,USA,N,58387.7758083572
2017,USA,N,58387.7758083572
2017,USA,N,58387.7758083572
2017,AUSTRALIA,N,57764.0688425977
2017,USA,N,58387.7758083572
2017,USA,N,58387.7758083572
2017,SPAIN,N,27213.4516690616
2017,USA,N,58387.7758083572
2017,MIDUPP_INCOME,N,4405.75323798966
2017,AUSTRALIA,N,57764.0688425977
2017,USA,N,58387.7758083572
2017,AUSTRALIA,N,57764.0688425977
2017,AUSTRALIA,N,57764.0688425977
2017,MIDLOW_INCOME,N,2292.13355419418
2017,SOUTH AFRICA,Y,5672.69308916239
2017,JAPAN,N,35914.6412692599
2017,USA,N,58387.7758083572
2017,USA,N,58387.7758083572
2017,USA,N,58387.7758083572
2017,AUSTRALIA,N,57764.0688425977
2017,USA,N,58387.7758083572
2017,NEW ZEALAND,N,39758.2643153684
2017,USA,N,58387.7758083572
2017,BAHAMAS,N,32089.2530205299
2017,USA,N,58387.7758083572
2017,EGYPT,N,3712.60365352095
2017,USA,N,58387.7758083572
2017,USA,N,58387.7758083572
2017,USA,N,58387.7758083572
2017,USA,N,58387.7758083572
2017,BAHAMAS,N,32089.2530205299
2017,BAHAMAS,N,32089.2530205299
2017,UNITED KINGDOM,N,45947.1643412566
2017,USA,N,58387.7758083572
2017,SPAIN,N,27213.4516690616
2017,USA,N,58387.7758083572
2017,USA,N,58387.7758083572
2017,USA,N,58387.7758083572
2017,USA,N,58387.7758083572
2017,AUSTRALIA,N,57764.0688425977
2017,USA,N,58387.7758083572
2017,USA,N,58387.7758083572
2017,MEXICO,N,9842.40071150603
2017,SOUTH AFRICA,N,5672.69308916239
2017,USA,N,58387.7758083572
2017,USA,N,58387.7758083572
2017,USA,N,58387.7758083572
2017,FRANCE,N,37678.9272975347
2017,SPAIN,N,27213.4516690616
2017,MICRONESIA,N,2941.87332481567
2017,BAHAMAS,N,32089.2530205299
2017,AUSTRALIA,N,57764.0688425977
2017,AUSTRALIA,N,57764.0688425977
2017,USA,N,58387.7758083572
2017,UNITED KINGDOM,N,45947.1643412566
2017,USA,N,58387.7758083572
2017,BAHAMAS,N,32089.2530205299
2017,USA,N,58387.7758083572
2017,USA,N,58387.7758083572
2017,AUSTRALIA,N,57764.0688425977
2017,HIGH_INCOME,N,39828.1757024993
2017,AUSTRALIA,N,57764.0688425977
2017,MEXICO,Y,9842.40071150603
2017,USA,N,58387.7758083572
2017,SOUTH AFRICA,N,5672.69308916239
2017,USA,N,58387.7758083572
2017,FRANCE,Y,37678.9272975347
2017,NEW ZEALAND,N,39758.2643153684
2017,UNITED KINGDOM,N,45947.1643412566
2017,USA,N,58387.7758083572
2017,AUSTRALIA,Y,57764.0688425977
2017,USA,N,58387.7758083572
2017,USA,N,58387.7758083572
2017,USA,N,58387.7758083572
2017,USA,N,58387.7758083572
2017,USA,N,58387.7758083572
2017,USA,N,58387.7758083572
2017,USA,N,58387.7758083572
2017,USA,N,58387.7758083572
2017,AUSTRALIA,N,57764.0688425977
2017,USA,N,58387.7758083572
2017,USA,N,58387.7758083572
2017,AUSTRALIA,N,57764.0688425977
2017,USA,N,58387.7758083572
2017,PHILIPPINES,N,3338.44153304114
2017,BAHAMAS,N,32089.2530205299
2017,AUSTRALIA,N,57764.0688425977
2017,AUSTRALIA,N,57764.0688425977
2017,FRANCE,Y,37678.9272975347
2017,AUSTRALIA,N,57764.0688425977
2017,USA,N,58387.7758083572
2017,BRAZIL,N,8498.30510191241
2017,SOUTH AFRICA,N,5672.69308916239
2017,USA,N,58387.7758083572
2017,BAHAMAS,N,32089.2530205299
2017,BRAZIL,N,8498.30510191241
2017,USA,N,58387.7758083572
2017,AUSTRALIA,N,57764.0688425977
2017,AUSTRALIA,N,57764.0688425977
2017,USA,N,58387.7758083572
2017,MIDLOW_INCOME,N,3589.71554262199
2017,USA,N,58387.7758083572
2016,USA,N,57418.9338464454
2016,AUSTRALIA,N,57424.251335741
2016,SOUTH AFRICA,N,5673.39345509888
2016,AUSTRALIA,N,57424.251335741
2016,MICRONESIA,N,2897.41759379444
2016,AUSTRALIA,N,57424.251335741
2016,AUSTRALIA,N,57424.251335741
2016,AUSTRALIA,N,57424.251335741
2016,USA,N,57418.9338464454
2016,USA,N,57418.9338464454
2016,USA,N,57418.9338464454
2016,AUSTRALIA,N,57424.251335741
2016,USA,N,57418.9338464454
2016,AUSTRALIA,N,57424.251335741
2016,USA,N,57418.9338464454
2016,AUSTRALIA,N,57424.251335741
2016,USA,N,57418.9338464454
2016,USA,N,57418.9338464454
2016,USA,N,57418.9338464454
2016,AUSTRALIA,N,57424.251335741
2016,USA,N,57418.9338464454
2016,USA,N,57418.9338464454
2016,USA,N,57418.9338464454
2016,USA,N,57418.9338464454
2016,AUSTRALIA,N,57424.251335741
2016,AUSTRALIA,N,57424.251335741
2016,AUSTRALIA,N,57424.251335741
2016,USA,N,57418.9338464454
2016,USA,N,57418.9338464454
2016,FRANCE,Y,36941.9362430702
2016,USA,N,57418.9338464454
2016,AUSTRALIA,N,57424.251335741
2016,USA,N,57418.9338464454
2016,USA,N,57418.9338464454
2016,USA,N,57418.9338464454
2016,USA,N,57418.9338464454
2016,FRANCE,N,36941.9362430702
2016,USA,N,57418.9338464454
2016,BAHAMAS,N,31434.7320092744
2016,USA,N,57418.9338464454
2016,USA,N,57418.9338464454
2016,SPAIN,N,26489.6586768835
2016,MIDUPP_INCOME,N,8572.88213343734
2016,AUSTRALIA,N,57424.251335741
2016,USA,N,57418.9338464454
2016,AUSTRALIA,N,57424.251335741
2016,JAPAN,N,35264.8133591817
2016,AUSTRALIA,N,57424.251335741
2016,BAHAMAS,N,31434.7320092744
2016,AUSTRALIA,N,57424.251335741
2016,USA,N,57418.9338464454
2016,USA,N,57418.9338464454
2016,USA,N,57418.9338464454
2016,USA,N,57418.9338464454
2016,USA,N,57418.9338464454
2016,BAHAMAS,N,31434.7320092744
2016,SPAIN,N,26489.6586768835
2016,USA,N,57418.9338464454
2016,USA,N,57418.9338464454
2016,USA,N,57418.9338464454
2016,USA,N,57418.9338464454
2016,AUSTRALIA,N,57424.251335741
2016,USA,N,57418.9338464454
2016,USA,N,57418.9338464454
2016,MIDLOW_INCOME,N,6219.14969133043
2016,SOUTH AFRICA,N,5673.39345509888
2016,USA,N,57418.9338464454
2016,USA,N,57418.9338464454
2016,USA,N,57418.9338464454
2016,AUSTRALIA,N,57424.251335741
2016,USA,N,57418.9338464454
2016,USA,N,57418.9338464454
2016,USA,N,57418.9338464454
2016,AUSTRALIA,Y,57424.251335741
2016,EGYPT,N,3638.89492746167
2016,FRANCE,N,36941.9362430702
2016,AUSTRALIA,Y,57424.251335741
2016,USA,N,57418.9338464454
2016,USA,N,57418.9338464454
2016,USA,N,57418.9338464454
2016,USA,N,57418.9338464454
2016,USA,N,57418.9338464454
2016,USA,N,57418.9338464454
2016,USA,N,57418.9338464454
2016,USA,N,57418.9338464454
2016,NEW ZEALAND,N,39181.692830712
2016,MIDLOW_INCOME,N,3456.9281144563
2016,USA,N,57418.9338464454
2016,SOUTH AFRICA,N,5673.39345509888
2016,AUSTRALIA,N,57424.251335741
2016,MICRONESIA,N,2897.41759379444
2016,MICRONESIA,N,2897.41759379444
2016,USA,N,57418.9338464454
2016,FRANCE,Y,36941.9362430702
2016,USA,N,57418.9338464454
2016,USA,N,57418.9338464454
2016,AUSTRALIA,N,57424.251335741
2016,AUSTRALIA,N,57424.251335741
2016,BAHAMAS,N,31434.7320092744
2016,USA,N,57418.9338464454
2016,FIJI,Y,5498.6136803941
2016,USA,N,57418.9338464454
2016,AUSTRALIA,N,57424.251335741
2016,BRAZIL,N,8455.32348121931
2016,FRANCE,N,36941.9362430702
2016,FRANCE,N,36941.9362430702
2016,MIDUPP_INCOME,N,7300.03328484764
2016,AUSTRALIA,N,57424.251335741
2016,AUSTRALIA,N,57424.251335741
2016,BRAZIL,N,8455.32348121931
2016,SOUTH AFRICA,N,5673.39345509888
2016,USA,N,57418.9338464454
2016,USA,N,57418.9338464454
2016,USA,N,57418.9338464454
2016,HIGH_INCOME,N,39429.3803967478
2016,USA,N,57418.9338464454
2016,AUSTRALIA,N,57424.251335741
2016,AUSTRALIA,N,57424.251335741
2016,AUSTRALIA,N,57424.251335741
2015,SOUTH AFRICA,N,5734.63342207587
